# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.122888565063476562e+00 6.422985196113586426e-01 4.216978549957275391e+00
1.000000000000000000e+03 7.887225747108459473e-01 2.901292145252227783e-01 1.011754035949707031e+00
2.000000000000000000e+03 7.885088324546813965e-01 2.901296019554138184e-01 1.011770844459533691e+00
3.000000000000000000e+03 7.882359623908996582e-01 2.901333868503570557e-01 1.011966109275817871e+00
4.000000000000000000e+03 7.879785299301147461e-01 2.901389598846435547e-01 1.012248396873474121e+00
5.000000000000000000e+03 7.877254486083984375e-01 2.901430726051330566e-01 1.012458205223083496e+00
6.000000000000000000e+03 7.874690890312194824e-01 2.901476919651031494e-01 1.012690067291259766e+00
7.000000000000000000e+03 7.872726917266845703e-01 2.901457846164703369e-01 1.012592792510986328e+00
8.000000000000000000e+03 7.871229648590087891e-01 2.901454865932464600e-01 1.012578845024108887e+00
9.000000000000000000e+03 7.869992256164550781e-01 2.901459932327270508e-01 1.012606859207153320e+00
1.000000000000000000e+04 7.868916392326354980e-01 2.901444435119628906e-01 1.012529492378234863e+00
1.100000000000000000e+04 7.868190407752990723e-01 2.901498973369598389e-01 1.012803077697753906e+00
1.200000000000000000e+04 7.867682576179504395e-01 2.901613414287567139e-01 1.013363361358642578e+00
1.300000000000000000e+04 7.867318987846374512e-01 2.901423275470733643e-01 1.012421846389770508e+00
1.400000000000000000e+04 7.867050766944885254e-01 2.901421785354614258e-01 1.012412190437316895e+00
1.500000000000000000e+04 7.866799235343933105e-01 2.901689410209655762e-01 1.013735055923461914e+00
1.600000000000000000e+04 7.866904139518737793e-01 2.904107868671417236e-01 1.023934721946716309e+00
1.700000000000000000e+04 7.866229414939880371e-01 2.901359796524047852e-01 1.012102007865905762e+00
1.800000000000000000e+04 7.866070866584777832e-01 2.901368439197540283e-01 1.012145042419433594e+00
1.900000000000000000e+04 7.865990400314331055e-01 2.902268469333648682e-01 1.016391873359680176e+00
2.000000000000000000e+04 7.865768074989318848e-01 2.902301847934722900e-01 1.016538262367248535e+00
2.100000000000000000e+04 7.865512371063232422e-01 2.901332378387451172e-01 1.011957526206970215e+00
2.200000000000000000e+04 7.865329384803771973e-01 2.901321053504943848e-01 1.011901021003723145e+00
2.300000000000000000e+04 7.864339351654052734e-01 2.901410460472106934e-01 1.012358546257019043e+00
2.400000000000000000e+04 7.863523364067077637e-01 2.901418507099151611e-01 1.012397646903991699e+00
2.500000000000000000e+04 7.862564325332641602e-01 2.900955379009246826e-01 1.009948968887329102e+00
2.600000000000000000e+04 7.861281037330627441e-01 2.901456952095031738e-01 1.012590527534484863e+00
2.700000000000000000e+04 7.860081791877746582e-01 2.901339232921600342e-01 1.011996030807495117e+00
2.800000000000000000e+04 7.858889102935791016e-01 2.901563048362731934e-01 1.013115167617797852e+00
2.900000000000000000e+04 7.857724428176879883e-01 2.901496589183807373e-01 1.012786746025085449e+00
3.000000000000000000e+04 7.857317924499511719e-01 2.903969883918762207e-01 1.023218870162963867e+00
3.100000000000000000e+04 7.855572104454040527e-01 2.901380062103271484e-01 1.012205481529235840e+00
3.200000000000000000e+04 7.854195237159729004e-01 2.900224030017852783e-01 1.006001710891723633e+00
3.300000000000000000e+04 7.853321433067321777e-01 2.901891767978668213e-01 1.014685869216918945e+00
3.400000000000000000e+04 7.852772474288940430e-01 2.901380658149719238e-01 1.012205958366394043e+00
3.500000000000000000e+04 7.852334976196289062e-01 2.901293933391571045e-01 1.011762261390686035e+00
3.600000000000000000e+04 7.851914763450622559e-01 2.901286184787750244e-01 1.011722087860107422e+00
3.700000000000000000e+04 7.851409912109375000e-01 2.901265323162078857e-01 1.011613130569458008e+00
3.800000000000000000e+04 7.851007580757141113e-01 2.901290953159332275e-01 1.011748552322387695e+00
3.900000000000000000e+04 7.850621342658996582e-01 2.901289165019989014e-01 1.011736154556274414e+00
4.000000000000000000e+04 7.850059866905212402e-01 2.901329696178436279e-01 1.011943578720092773e+00
4.100000000000000000e+04 7.849410772323608398e-01 2.901344597339630127e-01 1.012022256851196289e+00
4.200000000000000000e+04 7.848868370056152344e-01 2.902375459671020508e-01 1.016857028007507324e+00
4.300000000000000000e+04 7.848022580146789551e-01 2.901321649551391602e-01 1.011904835700988770e+00
4.400000000000000000e+04 7.846691012382507324e-01 2.901392579078674316e-01 1.012264966964721680e+00
4.500000000000000000e+04 7.845789790153503418e-01 2.901497781276702881e-01 1.012793302536010742e+00
4.600000000000000000e+04 7.843521237373352051e-01 2.901259064674377441e-01 1.011585235595703125e+00
4.700000000000000000e+04 7.842229604721069336e-01 2.901247739791870117e-01 1.011521577835083008e+00
4.800000000000000000e+04 7.841431498527526855e-01 2.901800274848937988e-01 1.014259815216064453e+00
4.900000000000000000e+04 7.840736508369445801e-01 2.901250422000885010e-01 1.011538505554199219e+00
5.000000000000000000e+04 7.840186357498168945e-01 2.901245653629302979e-01 1.011507153511047363e+00
